NCBI Gene ID	UniProt ID(supplied by UniProt)
1	P04217
2	P01023
3	
9	P18440
10	P11245
11	
12	P01011
13	P22760
14	Q13685
15	Q16613
16	P49588
17	
18	P80404
19	O95477
20	Q9BZC7
21	Q99758
22	O75027
23	Q8NE71
24	P78363
25	P00519
26	P19801
27	P42684
28	P16442
29	Q12979
30	P09110
31	Q13085
32	O00763
33	P28330
34	P11310
35	P16219
36	P45954
37	P49748
38	P24752
39	Q9BWD1
40	Q16515
41	P78348
43	P22303
47	P53396
48	P21399
49	P10323
50	Q99798
51	Q15067
52	P24666
53	P11117
54	P13686
55	P15309
56	P26436
58	P68133
59	P62736
60	P60709
62	
63	
64	
66	
67	
68	
69	
70	P68032
71	P63261
72	P63267
73	
74	
75	
78	
79	
80	
81	O43707
82	
83	
86	O96019
87	P12814
88	P35609
89	Q08043
90	Q04771
91	P36896
92	P27037
93	Q13705
94	P37023
95	Q03154
97	P07311
98	P14621
100	P00813
101	P78325
102	O14672
103	P55265
104	P78563
105	Q9NS39
106	
107	Q08828
108	Q08462
109	O60266
111	O95622
112	O43306
113	P51828
114	P40145
115	O60503
116	P18509
117	P41586
118	P35611
119	P35612
120	Q9UEY8
123	Q99541
124	P07327
125	P00325
126	P00326
127	P08319
128	P11766
130	P28332
131	P40394
132	P55263
133	P35318
134	P30542
135	P29274
136	P29275
137	
140	P0DMS8
141	P54922
142	P09874
143	Q9UKK3
144	
145	
146	P25100
147	P35368
148	P35348
150	P08913
151	P18089
152	P18825
153	P08588
154	P07550
155	P13945
156	P25098
157	P35626
158	P30566
159	P30520
160	O95782
161	O94973
162	Q10567
163	P63010
164	O43747
165	Q8IUX7
166	Q08117
167	P54107
172	
173	P43652
174	P02771
175	P20933
176	P16112
177	Q15109
178	P35573
181	O00253
182	P78504
183	P01019
185	P30556
186	P50052
187	P35414
189	P21549
190	P51843
191	P23526
196	P35869
197	P02765
199	P55008
202	Q9Y4K1
203	P00568
204	P54819
205	P27144
206	
207	P31749
208	P31751
210	P13716
211	P13196
212	P22557
213	P02768
214	Q13740
215	P33897
216	P00352
217	P05091
218	P30838
219	P30837
220	P47895
221	P43353
222	P48448
223	P49189
224	P51648
225	Q9UBJ2
226	P04075
228	
229	P05062
230	P09972
231	P15121
236	
238	Q9UM73
239	P18054
240	P09917
241	P20292
242	O75342
243	
245	
246	P16050
247	O15296
248	P09923
249	P05186
250	P05187
251	P10696
257	O95076
258	Q9NP70
259	P02760
262	P17707
263	
265	Q99217
266	Q99218
267	Q9UKV5
268	P03971
269	Q16671
270	P23109
271	Q01433
272	Q01432
273	P49418
274	O00499
275	P48728
276	P04745
277	P04745
278	P04745
279	P04746
280	P19961
281	
283	P03950
284	Q15389
285	O15123
286	P16157
287	Q01484
288	Q12955
290	P15144
291	P12235
292	P05141
293	P12236
301	P04083
302	P07355
303	
304	A6NMY6
305	
306	P12429
307	P09525
308	P08758
309	P08133
310	P20073
311	P50995
312	P27216
313	P28039
314	O75106
316	Q06278
317	O14727
318	P50583
319	Q13790
320	Q02410
321	Q99767
322	O00213
323	Q92870
324	P25054
325	P02743
326	O43918
327	P13798
328	P27695
329	Q13490
330	Q13489
331	P98170
332	O15392
333	P51693
334	Q06481
335	P02647
336	P02652
337	P06727
338	P04114
339	P41238
341	P02654
342	
343	O94778
344	P02655
345	P02656
346	P55056
347	P05090
348	P02649
350	P02749
351	P05067
353	P07741
354	P07288
355	P25445
356	P48023
357	Q13796
358	P29972
359	P41181
360	Q92482
361	P55087
362	P55064
363	Q13520
364	O14520
366	O43315
367	P10275
368	O95255
369	P10398
372	P48444
373	P36406
374	P15514
375	P84077
377	P61204
378	P18085
379	P49703
380	
381	P84085
382	P62330
383	P05089
384	P78540
387	P61586
388	P62745
389	P08134
390	P61587
391	P84095
392	Q07960
393	P98171
394	Q13017
395	O43182
396	P52565
397	P52566
398	Q99819
399	Q15669
400	P40616
401	O14813
402	P36404
403	P36405
405	P27540
406	O00327
407	P36575
408	P49407
409	P32121
410	P15289
411	P15848
412	P08842
413	
414	P51689
415	P51690
